participant	condition	intervention	therm_lvl
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	5.0
P004	guilt	a	6.0
P004	guilt	a	7.0
P004	guilt	a	1.0
P004	guilt	a	2.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	5.0
P004	guilt	a	9.0
P004	guilt	a	7.0
P004	guilt	a	3.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	2.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	2.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	2.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	4.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	1.0
P004	guilt	a	4.0
P004	guilt	a	6.0
P004	guilt	a	2.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	1.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	4.0
P004	guilt	a	2.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	2.0
P004	guilt	a	4.0
P004	guilt	a	3.0
P004	guilt	a	2.0
P004	guilt	a	1.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	0.0
P004	guilt	a	1.0
